id,name,slug,short_description,description,category,subcategory,library,price,currency,compare_at_price,image,gallery_images,product_type,file_format,compatibility,benefits,includes,features,faqs,tags,gumroad_url,gumroad_product_id,gumroad_permalink,featured,status,seo_title,seo_description,updated_at,order
PS-0001,Copywriting Skill Pack — Sales Pages & Ads,copywriting-skill-pack,"A ready-to-run AI copywriting skill that drafts sales pages, ad copy and landing page text that sounds like your brand.","A complete, structural AI skill for writing copy that sells.

It gives your AI assistant a precise writer persona, a proven brief-to-draft workflow, and quality checks so every draft matches your tone, audience and offer. Use it for ad campaigns, homepage copy, product pages and email promos.

Delivered as a drop-in pack: set your brand voice once, then generate on-brand drafts in minutes.","CONTENT, WRITING & LOCALIZATION",Copywriting,,12,USD,16,images/products/copywriting-skill-pack.svg,,prompt-pack,Markdown + PDF,ChatGPT · Claude · Gemini · NotebookLM,"Write on-brand first drafts in minutes|Reuse one voice across ad, page and email copy|Skip the blank-page block with structured briefs|Ship faster while keeping quality checks built in",Brand voice definition sheet|Brief-to-draft workflow|Sales page prompt set (7 prompts)|Ad copy prompt set (6 prompts)|Quality & tone checklist,Single source of truth for tone|Skips blank-page starting phase|Built-in on-brand QA pass,"Ready to run in any major chatbot or assistant::Works in ChatGPT, Claude, Gemini and NotebookLM without extra setup",copywriting|ad-copy|sales-pages|marketing|prompts,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/copywriting-skill-pack,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,YES,published,Copywriting Skill Pack — Sales Pages & Ads that sound like your brand | Prompt Station,"A ready-to-run AI copywriting skill that drafts sales pages, ad copy and landing page text that sounds like your brand.",2026-08-20,1
PS-0002,SEO Research & Article Optimization Kit,seo-optimization-kit,"An AI skill that turns keyword research into search-friendly, structured articles your team can publish.","Turn search intent into publishable articles without the guesswork.

This skill walks your AI step by step: researching what people actually search for, structuring an article around the question, writing with headings and internal links, then reviewing against SEO best practice.

Comes with reusable run-sheets so your writers get consistent, on-strategy output every time.","CONTENT, WRITING & LOCALIZATION",SEO Optimization,,14,USD,,images/products/seo-optimization-kit.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,Research real search queries faster|Consistent article structure every time|Fewer review rounds on SEO basics|Reusable run-sheets for your whole team,Keyword research run-sheet|Article outline builder|Writing prompt set (9 prompts)|On-page SEO checklist|Meta title & description generator,Interstitials: research → outline → draft → review,Works with the AI chat tools your team already use,seo|articles|content-marketing|research|keywords,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/seo-optimization-kit,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,,published,SEO Research & Article Optimization Kit | Prompt Station,"An AI skill that turns keyword research into search-friendly, structured articles your team can publish.",2026-08-18,2
PS-0003,Web Design Prompt Suite,web-design-prompt-suite,"A structured AI skill for turning briefs into complete website layouts, sections and design rationale.","Go from brief to website build faster with an AI skill that thinks like a design lead.

It structures the entire web design workflow: clarifying the brief, choosing layout patterns, writing section-by-section specifications, and producing buildable HTML/CSS with a design system in mind.

Engineered for designers and developers who want AI as a structured collaborator — not a random content generator.","DESIGN, MEDIA & ENTERTAINMENT",Web Design,,17,USD,24,images/products/web-design-prompt-suite.svg,,prompt-pack,Markdown + ZIP (HTML/CSS),ChatGPT · Claude · Gemini · Cursor · v0,Move from brief to structure in one session|Section-level specs developers can build from|Design rationale baked into every decision|Works with your existing design stack,Brief-clarification prompt|Layout patterns reference deck|Section-by-section spec template|HTML/CSS starter patterns|Design QA checklist,"Thinks in structure, not random output",Includes token-efficient prompts for Cursor and v0,web-design|frontend|ui|html|css|design-systems,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/web-design-prompt-suite,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,YES,published,Web Design Prompt Suite — brief to buildable layouts | Prompt Station,"A structured AI skill for turning briefs into complete website layouts, sections and design rationale.",2026-08-16,3
PS-0004,Customer Support Chatbot Blueprint,customer-support-chatbot-blueprint,A complete build-kit for AI support automations that answer common questions 24/7 without feeling robotic.,"Design, prompt and deploy an AI support bot that handles routine questions and hands off gracefully.

This skill includes the decision flow (when to answer, when to escalate), canned responses that keep your brand voice, and a testing checklist so the bot fails gracefully instead of confusing customers.

Built to work with the major chatbot builders and LLM platforms.","BUSINESS, SALES & OPERATIONS",Customer Support Chatbots,,19,USD,,images/products/customer-support-chatbot-blueprint.svg,,workflow-kit,Markdown + JSON,Any chatbot builder · OpenAI · Claude · custom LLM APIs,Answer routine questions 24/7|Clear escalation rules built in|Brand-consistent canned responses|Test the bot before it ships,Intent map & decision flow|System prompt pack|Knowledge-base structure template|Escalation playbook|Bot testing checklist,Fails gracefully by design,Does not claim to replace human support — it structures the handoff,support|chatbots|automation|service|operations,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/customer-support-chatbot-blueprint,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,YES,published,Customer Support Chatbot Blueprint — 24/7 AI support flow | Prompt Station,A complete build-kit for AI support automations that answer common questions 24/7 without feeling robotic.,2026-08-14,4
PS-0005,Data Analysis to Insight Toolkit,data-analysis-to-insight-toolkit,"An AI skill that turns spreadsheets and raw data sets into clear charts, summaries and business decisions.","Stop pasting raw tables into AI and hoping for sense. This skill gives your AI a structured analysis protocol.

It defines how to inspect the data, spot anomalies and patterns, pick the right visualisation, and write a plain-language brief your stakeholders can act on.

Includes reusable run-sheets for monthly reports, ad-hoc deep dives and dashboards.","BUSINESS, SALES & OPERATIONS",Data Analysis,,15,USD,,images/products/data-analysis-to-insight-toolkit.svg,,workflow-kit,Markdown + XLSX templates,ChatGPT · Claude · Gemini · Copilot,Turn raw data into decisions faster|Standard structure for every analysis|Charts that answer the actual question|Reusable templates for recurring reports,Analysis protocol|Pattern & anomaly checklist|Chart selection guide|Insight brief template|Month-end report run-sheet,Analyses the question before the numbers,Excel or Google Sheets friendly with copy-paste templates,data-analysis|analytics|excel|dashboards|reporting,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/data-analysis-to-insight-toolkit,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,,published,Data Analysis to Insight Toolkit | Prompt Station,"An AI skill that turns spreadsheets and raw data sets into clear charts, summaries and business decisions.",2026-08-12,5
PS-0006,Email Campaign Personalization Pack,email-campaign-personalization-pack,An AI skill that writes personalized email sequences for different buyer segments without losing your brand voice.,"Personalization at scale usually breaks the brand. This skill fixes that with a segmentation-first process.

Define your audiences once, then let the skill draft campaigns that speak to each segment — while enforcing the same tone, structure and calls to action.

Built for weekly news, onboarding flows, and promo campaigns where copy needs to feel one-to-one.","CONTENT, WRITING & LOCALIZATION",Email Marketing,,11,USD,14,images/products/email-campaign-personalization-pack.svg,,prompt-pack,Markdown,ChatGPT · Claude · Gemini · Mailchimp · Klaviyo,Segment-aware copy for every campaign|Consistent voice across audiences|Faster onboarding & promo flows|Plug into your existing email tools,Persona & segment workbook|Campaign brief template|Sequence prompt set (8 prompts)|Subject line lab|Voice guardrails sheet,Enforces one voice across segments,"Works alongside Mailchimp, Klaviyo and any ESP",email-marketing|campaigns|personalization|segments|automation,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/email-campaign-personalization-pack,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,,published,Email Campaign Personalization Pack | Prompt Station,An AI skill that writes personalized email sequences for different buyer segments without losing your brand voice.,2026-08-10,6
PS-9000,Sample Draft Skill — invisible to storefront,,This row is a demo of the status column. While status is draft the product never appears anywhere.,Sample draft row: set status to published and rebuild to bring it live.,"CONTENT, WRITING & LOCALIZATION",Transcription and Summaries,,10,USD,,images/products/draft-demo.svg,,prompt-pack,Markdown,,,,,How do I turn this on?::Change the status column to published and rebuild.,sample|draft,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/draft-demo,YOUR_PRODUCT_ID_YOUR_PRODUCT_SLUG,,,draft,Sample Draft Skill,This is a draft demo row hidden from the storefront.,2026-08-01,99
PS-0101,Retirement & Pension Simulation Kit,retirement-pension-simulation-kit,"A structured AI skill that stress-tests retirement plans — contribution scenarios, income gaps and the assumptions behind them.","Retirement planning only feels solid when the scenarios have been walked through. This skill turns your AI assistant into a scenario analyst: intake your pension and savings inputs, model contribution and withdrawal scenarios, and surface income gaps with the assumptions clearly logged.

It produces comparable scenario sheets and an annual review run-sheet, so the same logic gets applied every year instead of starting from scratch.","FINANCE, FINTECH & WEALTH MANAGEMENT",Retirement & Pension Simulation,2.txt,18,USD,24,images/products/retirement-pension-simulation-kit.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,Comparable scenario sheets every year|Income gaps surfaced with assumptions|Clean handoff to an advisor|Reusable annual review rhythm,Plan data intake sheet|Scenario engine prompts|Income-gap analysis worksheet|Assumption log template|Annual review run-sheet,"Every scenario logs stated assumptions|Explicitly framed as a planning aid, not investment advice",Is this investment advice?::No — it structures your own planning scenarios. Decisions stay with you and your advisor.,retirement|pension|planning|scenarios|finance,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/retirement-pension-simulation-kit,,,YES,published,,,2026-08-21,10
PS-0102,Tenant-Landlord Dispute Prep Pack,tenant-dispute-prep-kit,"Organize facts, correspondence and obligations into a clear dispute timeline with next-step options.","Disputes are won on preparation, not volume. This skill helps you assemble every relevant fact — lease terms, payments, notice history, messages — into a clean chronology and a plain-language position summary.

It produces questions an advisor would ask, flags missing evidence, and drafts professional correspondence notes. It informs your preparation; it does not replace legal advice, and the pack says so clearly.",LEGAL TECH & REGULATORY AFFAIRS,Tenant-Landlord Dispute Prep,2.txt,15,USD,,images/products/tenant-dispute-prep-kit.svg,,prompt-pack,Markdown + PDF,ChatGPT · Claude · Gemini,"Builds a complete, dated dispute timeline|Flags missing evidence early|Plain-language position summary|Clear next-step options before you pay a lawyer",Evidence gathering checklist|Lease term extraction prompts|Correspondence timeline builder|Position summary template|Questions to ask an advisor,"Explicitly framed as preparation, not legal advice",Is this legal advice?::No — it is a preparation checklist and drafting aid. Review anything you send with an appropriate professional.,tenant|landlord|dispute|legal|correspondence,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/tenant-dispute-prep-kit,,,,published,,,2026-08-21,11
PS-0103,Radiology Pre-Screening Support Pack,radiology-prescreen-support-pack,A structured protocol that triages study descriptions and flags follow-up questions for radiologist review.,"Radiology teams are time-constrained. This skill structures AI support for the administrative half of the workflow: summarizing study indications, organizing prior reports, and drafting a concise list of items for the radiologist to confirm.

It exists to assist — never to diagnose — and its output is explicitly labelled as a pre-screening aid requiring professional review.","HEALTHCARE, MEDICAL INFORMATICS & WELLNESS",Radiology Pre-Screening Support,2.txt,22,USD,,images/products/radiology-prescreen-support-pack.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,"Reduces administrative reading time|Consistent, labelled pre-screen summaries|Organized prior-report digests|Clearly bounded as decision support only",Study indication summarizer|Prior report digest builder|Follow-up question checklist|Handoff template for the reading room|Review-and-disclaim protocol,Bounded: output always requires professional review,Does this make diagnoses?::No. It assists with documentation and triage; every output is clearly marked for professional review.,radiology|healthcare|triage|documentation|clinical,https://YOUR_GUMROAD_USERNAME.gumroad.com/l/radiology-prescreen-support-pack,,,,published,,,2026-08-22,12
